Day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
9-May,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,83,,,,,,,,,
10-May,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,198,,,,,,,,,
11-May,,,,,,,,,,,,,,,,,,,,,,,,,,626,,,,,,,,,,,270,,,12,,,,,,
12-May,,,,,,,,,,,,,,,,,,,,,,,,,,1179,,,,,,,,,440,,600,,,66,,,,,,
13-May,,,,,,,,,,,,,,,,,,,,,,,,,,1377,18,,,,,,,,732,145,1087,,,54,,,,,,36
14-May,,,,,,,,,,,,,,,,,,,,,,,,437,,1046,24,,,,,,,,1310,285,1552,,,240,,,,,,0
15-May,,,,,,,,,,,,,,,,449,,,,,,,,661,294,1673,72,,6,,,,,,2247,835,2293,,,714,,,,,,108
16-May,,,,,,,,,,,,,,,,479,,64,,,,55,71,1219,412,1676,78,,84,,,306,108,,5011,1979,3038,35,,2178,,36,,,,133
17-May,,5372,,,,,,,,732,,,,,448,547,,88,,,,61,2,1595,419,4286,102,,186,,,966,576,,8190,6163,3952,78,,4270,,77,,,,255
18-May,218,9665,,,,,,,,3660,,,,,686,522,101,136,158,,337,572,4,1450,821,5608,18,,492,3557,,1440,2838,,7331,10596,4711,1140,27,5185,,114,48,,,223
19-May,167,11409,,,725,,,,313,6588,,,,,952,1295,72,168,254,,456,1156,2,3523,1864,5386,18,,1543,3232,,1646,4535,,9862,15198,8691,2207,158,5172,763,138,44,,,738
20-May,221,10733,,,1924,,,167,877,6935,,,,9503,955,3028,135,486,173,,358,1128,17,3436,1579,6762,72,,4578,5551,24,1960,5175,,14410,18888,14919,2124,314,8202,1623,334,84,,87,931
21-May,88,9729,,,1986,,,36,1440,4834,1121,1087,,13677,1610,3504,338,464,1477,,474,1527,34,5376,4960,10619,138,123,6753,8011,1577,2534,4060,,25459,14028,14612,1640,532,15133,2532,818,108,,83,2224
22-May,391,7558,,,5124,,,482,2256,4030,4843,1717,,22706,2422,2808,1023,1742,1277,,462,4565,575,3850,8761,15069,627,276,4692,13458,2077,3747,8267,,23526,15078,9864,1584,588,18246,2139,800,145,,186,5143
23-May,594,6214,,3310,5042,,,1732,5078,6472,7177,3161,,28425,3558,4301,1766,2744,1327,960,600,7925,825,5489,16588,8903,1639,693,4929,12702,3080,9666,13426,,22618,22686,7908,2712,901,12876,2631,969,259,,992,6619
24-May,494,12985,90,8620,4486,,,2040,11033,7448,11923,2465,,31980,2897,2473,1330,12196,3582,480,936,19752,1504,12079,17130,13866,2706,1224,6857,13062,5550,23976,14117,,23325,15726,15264,6404,1430,14681,4000,1502,243,,1460,7966
25-May,713,12816,493,11587,3120,,534,4263,9979,4658,14333,3046,,38581,4083,1841,1363,26923,5851,600,1237,27684,2612,13101,17520,21169,5590,1900,5656,18813,7333,36096,18486,,18586,20616,22800,18167,1915,17754,6116,1504,1463,626,1562,11196
26-May,1057,6383,1023,10575,4645,,1694,7115,8946,8318,11337,3274,,23647,3282,3032,2192,27389,5608,372,1049,24816,3634,3997,18890,18344,7710,4912,6542,18756,9031,41610,36718,18,13641,41640,13889,38208,3090,11286,7187,8134,1794,1476,2133,12827
27-May,2115,2842,12091,8661,5836,,2092,12176,13247,13143,12060,3893,1226,12885,2855,3806,4790,31978,9011,859,2584,20514,2956,5885,17863,13369,17990,7369,7435,15775,7975,40983,43803,20,15560,53442,8589,28300,3611,9799,6425,8078,2935,1927,5340,15595
28-May,1693,2560,47303,8456,4978,1031,3384,16392,14201,13880,7434,3389,1431,17476,3047,7168,13179,46182,10275,1129,3220,17616,4009,9930,23347,14552,34122,15232,10782,14190,9636,41244,71645,0,21707,25763,11638,21576,4776,14987,5641,8287,3574,3053,5200,11284
29-May,1080,2160,19671,6380,7126,417,2393,14485,10022,10677,9176,3933,2362,13156,2888,9878,12008,46539,11226,2457,9864,29292,5173,12777,24625,20294,51716,23008,9730,17062,14195,27441,83062,145,20023,17316,11558,14556,6390,22566,6640,7873,4914,4581,5515,7867
30-May,1903,11822,8781,8296,4951,599,3173,18196,6806,5375,9541,4417,5736,8478,1966,12779,11144,37554,18442,6194,12452,30091,9055,10038,20644,17306,51138,31754,10555,14292,17809,11514,68535,8015,30204,27126,12752,12509,8184,22903,8888,8368,8349,7501,5090,8425
31-May,3620,21126,11389,17123,4278,1758,4150,18540,7586,7316,10343,9362,7931,16686,4616,10755,19994,46197,23018,3610,9434,17228,11114,17132,12859,17986,47734,30380,14586,8964,16470,15210,40480,18448,44127,20658,11385,14874,7206,16140,11144,7146,13158,8123,6889,9514
1-Jun,5257,18415,15385,18428,8536,3462,7001,16395,5205,7041,10026,16833,6610,16473,9423,8980,25530,31557,21312,2200,10357,14730,12042,17278,13731,16741,52220,33102,17926,7470,18608,22254,21472,20990,32254,26016,15264,16404,6762,18972,13753,9407,17801,10403,9661,11968
2-Jun,7061,23771,17213,14414,8483,6726,20638,14385,3558,5234,9909,21151,7919,22831,7767,9428,25977,30744,24206,1964,9366,16755,13975,13437,17281,13637,34778,36204,23332,9996,22323,16998,16350,24903,27377,23610,9358,15821,9956,18798,13228,13507,25835,17067,9272,13612
3-Jun,7437,16716,13383,13137,9730,10691,20237,17666,4626,6867,8576,17808,11535,14591,3137,5647,27265,18078,25724,2466,11536,11992,15415,13164,12750,11502,16594,35372,27566,11622,25481,11054,16242,17655,39389,29412,6997,19416,11466,20130,12744,15848,33340,17296,9972,11040
4-Jun,8996,9755,12355,15357,12496,24272,26626,14632,7877,8555,7572,14557,7921,17585,6143,6745,22231,17562,25530,2562,5751,12080,26287,12371,10129,8922,19494,23210,25254,7280,26108,10926,12420,13847,48333,18732,17946,17508,14462,31320,15696,21019,38941,14928,13195,11440
5-Jun,9746,10478,14806,19110,16728,30507,27934,10962,6755,7512,10173,18673,9295,25779,5265,5895,18009,16188,19064,2835,6782,18250,21334,9446,15350,14000,16914,19678,15073,4428,25532,8343,17101,12558,25955,17376,11350,12987,13747,39432,12686,20688,30596,15559,12951,13142
6-Jun,5407,11975,15585,14069,18097,32953,14527,4322,8895,7719,10410,11688,14552,25643,12100,9236,11310,19985,14130,1827,9518,15597,21473,10820,16457,10558,14210,16333,13367,5121,26097,6624,20326,16770,18942,41820,9454,12966,10851,27072,11421,21200,20698,19728,19946,17944
