Date,2019,2020,2021,2022,2023,2024,2025
9-May,,,,,,,
10-May,,,,,,,
11-May,,,,,,,
12-May,12,0,0,0,0,0,0
13-May,0,0,0,0,0,0,0
14-May,54,0,0,0,0,0,0
15-May,79,0,0,0,0,0,0
16-May,15,0,0,0,0,0,0
17-May,23,0,9.632,0,0,0,0
18-May,118,0,6.03037,0,0,0,0
19-May,20,97,12.03875,0,0,0,0
20-May,1126,170,39.07505579,0,0,0,0
21-May,1605,347,9.03,0,0,0,13.13454545
22-May,1643,289,0,0,0,0,150.8982
23-May,1042,123,0,10.535,0,0,64.61784
24-May,849,498,68.8584,19.254,0,0,55.7825
25-May,1490,925,0,40.59894857,0,237.1996838,140.97134
26-May,1290,486,175.04676,157.2590817,0,160.2470883,1163.763016
27-May,612,455,439.86231,303.70188,0,243.04184,1075.452314
28-May,1082,664,421.49781,221.9890817,0,132.96683,416.40638
29-May,832,775,859.281,616.9924543,602.1645382,607.8181943,547.70365
30-May,1209,992,1093.305796,886.28589,1106.414432,275.1936,724.4624136
31-May,1391,377,1259.601977,1342.074271,1218.97722,1006.69029,778.96633
1-Jun,1230,103,1454.28264,2242.86322,749.3724509,210.03122,790.2946374
2-Jun,1877,261,1245.45696,1767.3921,717.64105,1887.19276,921.76039
3-Jun,1463,188,1323.70957,4751.50693,201.78532,1137.71216,949.92622
4-Jun,1819,588,909.53478,1717.03822,1110.624128,2229.79704,247.42615
5-Jun,3778,1079,1173.7719,1033.32171,1751.51,1602.27569,252.39874
6-Jun,1836,734,1030.112303,1073.5229,741.09091,2139.53522,197.43525
7-Jun,1268,760,1262.49255,906.4416,1549.92891,1235.837002,326.23542
8-Jun,1491,702,1216.05394,717.02428,927.281404,2581.27071,533.58167
9-Jun,1013,435,1057.72908,389.69672,692.41141,1017.52694,748.9753713
10-Jun,841,489,1006.2401,331.8800414,490.29497,1056.88123,719.9215439
11-Jun,798,626,716.63304,343.8708782,191.03191,668.22277,900.0293088
12-Jun,1431,952,597.10376,900.09415,269.94885,501.95399,1680.552375
13-Jun,1093,906,460.90466,985.88908,505.8010626,538.09366,1600.002718
14-Jun,699,791,456.13722,1120.11597,1346.20437,185.5412571,2124.056691
15-Jun,1045,748,286.92866,1000.70492,1652.00138,219.5992391,1097.76351
16-Jun,896,321,265.69825,714.2627943,1508.4177,272.63669,836.9367127
17-Jun,564,201,388.79182,712.72409,1380.988477,0,392.50773
18-Jun,698,161,361.55749,453.99781,1549.66359,552.53284,306.911
19-Jun,712,205,210.32117,609.49912,1010.98352,177.4259082,374.09699
20-Jun,879,91,99.74575,470.8093678,1135.22576,79.20197,245.27515
21-Jun,1476,383,298.46993,984.72366,581.7784439,201.9823534,292.6601248
22-Jun,968,350,247.23051,1374.82772,201.42842,135.0582371,332.13176
23-Jun,985,264,221.32606,487.88944,945.83469,99.8848,159.06033
24-Jun,544,270,254.2087309,397.9478,359.74163,190.64167,235.53449
25-Jun,979,155,353.45177,383.16655,1270.78393,141.9608618,334.21295
